Source,Target,weight,distance
SDA-02,IA-08,0,3
SDA-02,IA-09,0,3
SDA-02,IA-12,0,3
SDA-02,IA-22,0,3
SDA-02,JUN-02,0,3
SDA-02,KA-01,0,3
SDA-02,KA-02,1,2
SDA-02,KA-03,0,3
SDA-02,KA-04,0,3
SDA-02,KA-05,0,3
SDA-02,KA-06,0,3
SDA-02,KA-07,0,3
SDA-02,KA-08,0,3
SDA-02,KA-09,0,3
SDA-02,KA-12,0,3
SDA-02,MA-01,0,3
SDA-02,MA-02,1,2
SDA-02,MA-03,0,3
SDA-02,MA-04,0,3
SDA-02,MA-05,0,3
SDA-02,MA-06,0,3
SDA-02,MA-07,0,3
SDA-02,MA-08,0,3
SDA-02,MA-09,0,3
SDA-02,MA-12,0,3
SDA-02,MB-02,0,3
SDA-02,MAN-02,0,3
SDA-02,SAV-01,0,3
SDA-02,SAV-02,1,2
SDA-02,SAV-03,0,3
SDA-02,SAV-04,0,3
SDA-02,SAV-05,0,3
SDA-02,SAV-06,0,3
SDA-02,SAV-07,0,3
SDA-02,SER-01,0,3
SDA-02,SER-02,1,2
SDA-02,SER-03,0,3
SDA-02,SER-04,0,3
SDA-02,SER-05,0,3
SDA-02,SER-06,0,3
SDA-02,SER-07,0,3
SDA-03X,SDA-01,1,2
SDA-03X,SDA-02,1,2
SDA-03X,SDA-03,2,1
SDA-03X,SDA-04,1,2
SDA-03X,SDA-05,1,2
SDA-03X,SDA-06,1,2
SDA-03X,SDA-07,1,2
SDA-03X,SDA-08,1,2
SDA-03X,SDC03,0,3
SDA-03X,SDD03,0,3
SDA-03X,SDG-02,0,3
SDA-03X,SDG-03,1,2
SDA-03X,SDG-04,0,3
SDA-03X,SDX-05,0,3
SDA-03X,SDX-06,0,3
SDA-03X,SDA-09,1,2
SDA-03X,SDA-10,0,3
SDA-03X,SDA-11,0,3
SDA-03X,SDA-12,0,3
SDA-03X,SA-01,0,3
SDA-03X,AA-03,0,3
SDA-03X,CA-03,0,3
SDA-03X,FA-03,0,3
SDA-03X,IA-03,0,3
SDA-03X,KA-03,0,3
SDA-03X,MA-03,0,3
SDA-03X,SAV-03,0,3
SDA-03X,SER-03,0,3
SDA-04,SDA-01,2,1
SDA-04,SDA-02,2,1
SDA-04,SDA-03,2,1
SDA-04,SDA-04,3,0
SDA-04,SDA-05,2,1
SDA-04,SDA-06,2,1
SDA-04,SDA-07,2,1
SDA-04,SDA-08,2,1
SDA-04,SDC02,0,3
SDA-04,SDC03,0,3
SDA-04,SDC04,1,2
SDA-04,SDD02,0,3
SDA-04,SDD03,0,3
SDA-04,SDD04,1,2
SDA-04,SDG-02,1,2
SDA-04,SDG-03,1,2
SDA-04,SDG-04,2,1
SDA-04,SDX-05,1,2
SDA-04,SDX-06,1,2
SDA-04,SDX-7A,0,3
SDA-04,SDA-09,2,1
SDA-04,SDA-10,1,2
SDA-04,SDA-11,1,2
SDA-04,SDA-12,1,2
SDA-04,SDCK01,0,3
SDA-04,SDCP01,0,3
SDA-04,SA-PA,0,3
SDA-04,SA-PC,0,3
SDA-04,SA-WA,0,3
SDA-04,776-04,0,3
SDA-04,777-04,0,3
SDA-04,822-04,0,3
SDA-04,EA-02,0,3
SDA-04,SA-01,1,2
SDA-04,SC-01,0,3
SDA-04,AA-01,0,3
SDA-04,AA-02,0,3
SDA-04,AA-03,0,3
SDA-04,AA-04,1,2
SDA-04,AA-05,0,3
SDA-04,AA-06,0,3
SDA-04,AA-07,0,3
SDA-04,AA-08,0,3
SDA-04,AA-09,0,3
SDA-04,AA-14,0,3
SDA-04,CA-01,0,3
SDA-04,CA-02,0,3
SDA-04,CA-03,0,3
SDA-04,CA-04,1,2
SDA-04,CA-05,0,3
SDA-04,CA-06,0,3
SDA-04,CA-07,0,3
SDA-04,CA-08,0,3
SDA-04,CA-09,0,3
SDA-04,FA-01,0,3
SDA-04,FA-02,0,3
SDA-04,FA-03,0,3
SDA-04,FA-04,1,2
SDA-04,FA-05,0,3
SDA-04,IA-01,0,3
SDA-04,IA-02,0,3
SDA-04,IA-03,0,3
SDA-04,IA-04,1,2
SDA-04,IA-05,0,3
SDA-04,IA-06,0,3
SDA-04,IA-07,0,3
SDA-04,IA-08,0,3
SDA-04,IA-09,0,3
SDA-04,IA-14,0,3
SDA-04,IA-24,0,3
SDA-04,JUN-04,0,3
SDA-04,KA-01,0,3
SDA-04,KA-02,0,3
SDA-04,KA-03,0,3
SDA-04,KA-04,1,2
SDA-04,KA-05,0,3
SDA-04,KA-06,0,3
SDA-04,KA-07,0,3
SDA-04,KA-08,0,3
SDA-04,KA-09,0,3
SDA-04,MA-01,0,3
SDA-04,MA-02,0,3
SDA-04,MA-03,0,3
SDA-04,MA-04,1,2
SDA-04,MA-05,0,3
SDA-04,MA-06,0,3
SDA-04,MA-07,0,3
SDA-04,MA-08,0,3
SDA-04,MA-09,0,3
SDA-04,MA-14,0,3
SDA-04,MB-04,0,3
SDA-04,MAN-04,0,3
SDA-04,SAV-01,0,3
SDA-04,SAV-02,0,3
SDA-04,SAV-03,0,3
SDA-04,SAV-04,1,2
SDA-04,SAV-05,0,3
SDA-04,SAV-06,0,3
SDA-04,SAV-07,0,3
SDA-04,SER-01,0,3
SDA-04,SER-02,0,3
SDA-04,SER-03,0,3
SDA-04,SER-04,1,2
SDA-04,KA-14,0,3
SDA-04,SER-05,0,3
SDA-04,SER-06,0,3
SDA-04,SER-07,0,3
SDA-05X,SDA-01,1,2
SDA-05X,SDA-02,1,2
SDA-05X,SDA-03,1,2
SDA-05X,SDA-04,1,2
SDA-05X,SDA-05,2,1
SDA-05X,SDA-06,1,2
SDA-05X,SDA-07,1,2
SDA-05X,SDA-08,1,2
SDA-05X,SDG-02,0,3
SDA-05X,SDG-03,0,3
SDA-05X,SDG-04,0,3
SDA-05X,SDX-05,1,2
SDA-05X,SDX-06,0,3
SDA-05X,SDA-09,1,2
SDA-05X,SDA-10,0,3
SDA-05X,SDA-11,0,3
SDA-05X,SDA-12,0,3
